State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andaman & Nicobar,Nicobars,2021-05-10,2021,5,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-05-17,2021,5,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-05-22,2021,5,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-05-26,2021,5,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-06-01,2021,6,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-06-19,2021,6,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-06-24,2021,6,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-06-27,2021,6,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-06-28,2021,6,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-07-02,2021,7,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-07-08,2021,7,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-07-11,2021,7,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-07-19,2021,7,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-07-23,2021,7,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-07-26,2021,7,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-07-29,2021,7,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-08-05,2021,8,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-08-06,2021,8,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-08-10,2021,8,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-08-11,2021,8,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-08-20,2021,8,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-08-23,2021,8,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-08-24,2021,8,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-08-28,2021,8,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-09-05,2021,9,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-09-06,2021,9,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-09-10,2021,9,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-09-12,2021,9,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-09-24,2021,9,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-10-03,2021,10,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-10-09,2021,10,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-10-14,2021,10,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-10-27,2021,10,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-10-30,2021,10,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-11-02,2021,11,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-11-05,2021,11,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-11-12,2021,11,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-11-17,2021,11,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-12-03,2021,12,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-12-04,2021,12,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-12-06,2021,12,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-12-17,2021,12,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-12-21,2021,12,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2021-12-28,2021,12,0.0,IMD GRID MODEL
Andaman & Nicobar,Nicobars,2022-01-01,2022,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-01-03,2022,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-01-06,2022,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-01-09,2022,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-01-20,2022,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-01-21,2022,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-01-28,2022,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-02,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-08,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-09,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-16,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-18,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-20,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-21,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-22,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-27,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-02-28,2022,2,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-03-02,2022,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-03-08,2022,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-03-17,2022,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-03-22,2022,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-03-24,2022,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-03-26,2022,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-03-28,2022,3,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-04-11,2022,4,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-04-12,2022,4,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-04-15,2022,4,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-04-18,2022,4,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-04-26,2022,4,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-05-02,2022,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-05-12,2022,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-05-15,2022,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-05-31,2022,5,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-06-04,2022,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-06-15,2022,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-06-18,2022,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-06-20,2022,6,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-07-02,2022,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-07-06,2022,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-07-08,2022,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-07-10,2022,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-07-20,2022,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-07-26,2022,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-07-30,2022,7,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-08-07,2022,8,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-08-18,2022,8,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-08-24,2022,8,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-08-28,2022,8,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-09-21,2022,9,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-10-03,2022,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-10-06,2022,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-10-18,2022,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-10-21,2022,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-10-24,2022,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-10-25,2022,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-10-28,2022,10,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-11-03,2022,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-11-14,2022,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-11-20,2022,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-11-21,2022,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-11-27,2022,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-11-28,2022,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-11-30,2022,11,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-12-07,2022,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-12-08,2022,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-12-11,2022,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2022-12-18,2022,12,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-07,2025,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-10,2025,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-11,2025,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-18,2025,1,0.0,NRSC VIC MODEL
Andaman & Nicobar,Nicobars,2025-01-21,2025,1,0.0,NRSC VIC MODEL
